	neutrophils	lymphocytes	monocytes	eosinophils	basophils
ACACB	-1.1010762851052331	0.13882168678497742	-0.035927397469094485	0.21618721561187468	0.005105117470808882
ACAD10	-1.0269334044271141	0.05339237768103078	-0.018659026900202977	0.02197894109348366	0.002074389748833412
ACAD11	-1.5647687290358772	0.2631115236859037	-0.06370002686591103	-0.004811654504089757	-0.0003580650909437886
ACAD8	-1.7498111720446121	-0.2011805115650802	-0.08380744759274199	0.014589391803319888	-0.0066942664572689665
ACAD9	-1.622634724201864	0.20596425510142521	-0.030447254249417337	0.021358411544587286	-0.002242248852803753
ACADM	-1.4769278332190774	0.02074467087200319	-0.03637940324577332	0.07222824001690234	-0.0052975337379959605
ACADS	-2.006242397800454	-0.1438486811189382	-0.08348056130935452	-0.03272738494628856	-0.005064792983775357
ACADSB	-1.531612101479197	0.2878411692260697	-0.08117369734759161	0.020878162684845613	0.002402363096861905
ACADVL	-0.9606926473561804	-0.22446181258700282	-0.004287023656336187	0.04790502156705652	-0.00406216496180038
ACAP1	-0.5847558611130744	0.001856580662139333	-0.08120140913266077	0.009337556027557153	-0.003625139663648771
ACAP2	1.217861707516835	-0.4618406246235238	0.030081397362506097	-0.01751351868402161	-0.005404612541755842
ACAP3	-1.176977293355363	-0.055644157907879674	-0.037224304885872514	0.01002077066276577	0.00021362432279340018
ACAT1	-1.457160024942101	0.12561052199863407	-0.023243395203297677	0.003140393152734653	-0.008128000897541069
ACAT2	-1.9763996438182458	0.16090494907705746	-0.09160054577926609	0.05101677996023147	-0.005785812490815389
ACBD3	-1.3259028801445512	0.013285038693099938	-0.044427260279588494	0.041248871628038836	-0.0031531580304428293
ACBD4	-1.5466895355303605	0.2713267742425237	-0.07376459044159153	0.009185350130306923	0.00025204858014877575
ACBD5	-0.9262143513988673	-0.19963533837609695	-0.014043394002155856	0.006128868178736149	-0.004765024452997826
ACBD6	-1.4682196096411833	0.33248521823303506	-0.05512753091234061	0.018187530289283497	-0.0015012351282115022
ACBD7	-1.5781351627737124	0.2863933083743682	-0.09726560283593419	0.00649924019193359	0.005099317366666746
ACCS	-0.7054089977672577	-0.036497915306112204	-0.031330746412096704	0.0324752190024212	-0.0014172811586959462
ACD	-1.2067062467555063	-0.201529281170394	-0.09114601040368193	-0.04673867963275957	-0.003652655919020361
ACE	-0.8996304081700769	0.33240075930019947	-0.06222479971609371	-0.03303894999455213	0.006278488839343219
ACER1	-1.5115934154651545	-0.020969598198844377	-0.13666894500368582	-0.06307209329400457	0.004891462568723239
ACER2	-1.0103845881252118	-0.24082670565578584	-0.07825265256608599	-0.048872845136003276	-0.0017894822019598057
ACER3	-0.37321182596000385	-0.2998811751399901	0.10666048716212626	0.12786119784890448	-0.005330508864047124
ACIN1	-0.27001791844227035	0.005162649653398152	-0.019133589692304186	0.037876466298174594	-0.0004056745375091921
ACLY	-1.4417396330546506	-0.08883142120156631	-0.03840103321782633	0.0566515770217262	-0.0033344726524118973
ACO1	-1.7740805593691196	0.21092940731245996	-0.043631619593096416	0.017130597179150456	0.0006962105862297344
ACO2	-2.044487176100482	-0.0013941062303392017	-0.04194520661486061	0.012816555352044382	-0.006435375829674713
ACOT11	-0.8773349164977803	-0.03331539261413589	-0.0019807880191354942	0.3301981579413426	0.005580084472777946
ACOT2	-2.18633693232452	0.04939354569902278	-0.11211887019062548	-0.011645039203203736	-0.0032692101148569823
ACOT4	-0.9188452948809348	0.011546435701335803	-0.05256589045590408	-0.021142299100268613	-0.003214287674404304
ACOT7	-1.2930412974282475	0.09797774889773106	-0.07799250726777895	0.00830095733421577	-0.00510274241017848
ACOT8	-1.048013560328569	-0.3491671766773527	-0.034194284082999044	0.04095903204308482	-0.010111407192712502
ACOT9	0.18209240155993572	-0.49994735907372595	0.06451846450697275	0.04674720066927334	-0.014738720581827524
ACOX1	1.3605181760873837	-0.3972299685657805	0.0009794559143470685	-0.07242561330756778	-0.0019141175831751934
ACOX3	-1.2703677298435823	0.08452360584869135	-0.016533405218518087	0.026132682866285124	0.0019139004243161708
ACOXL	1.4280100890583518	-0.42406960312480807	0.05929028641227167	-0.12262798730903354	-0.00026343929637665626
ACP1	-2.5462823804662955	0.117513772224143	-0.1126272098371488	0.02243491705010966	-0.004887754552519425
ACP2	-1.1553320921846464	-0.2670821359755835	0.028718083887946038	0.014609123231816517	-0.011693776405671805
ACP5	-1.0547235841072984	0.010781234198036942	-0.04539939546961662	0.06474714092912502	-0.0031861465569997154
ACP6	-1.1573983189518564	0.028394490337850572	-0.09357476363211292	0.03182251135008613	0.0007420521172263547
ACPP	0.9342707670511174	-0.3544493260529293	0.06244469601597942	0.08940072609837157	-0.0004516953471137437
ACRBP	-0.7111555359832344	-0.5294597305586155	-0.05358399306101571	-0.011249401392284612	-0.008514082683023342
ACRC	-0.13997412776125087	0.23356274484614145	-0.021149316448664128	0.013160001895466872	0.0016314824700462342
ACSBG1	-1.0008135322535168	-0.47195421847907365	-0.09020856412442989	-0.007168016203553714	-0.011003483695033773
ACSF2	-1.4335708539513021	-0.06723108377907493	-0.01475835469774179	0.2995360479079536	-0.002015219485343276
ACSF3	-1.3220842850935004	0.20421422131993572	-0.04863777128164038	0.002298905104858128	0.0009317317682182403
ACSL1	1.4083361985887295	-0.19720581547702518	0.03379154320993477	-0.03140314671861731	-0.002695073578690084
ACSL3	0.3176845302553457	-0.389321521610945	0.016940532804213558	0.06986854582833762	-0.00741528463853758
ACSL4	1.3727595670116357	-0.5296246700274351	0.05457464507383367	0.082949165597797	-0.00899899429924447
ACSL5	-1.9300723984718462	0.015244744514912163	-0.03496892672576781	0.06359070524977047	-0.007984616705045728
ACSL6	-1.255823614009023	0.38863144177469844	-0.09801241230284201	-0.019511199673756856	0.0035181632201374967
ACSM1	-1.3468867026389648	0.029384340183813057	0.0017894472851066128	0.2889281416340934	0.0007869470295641231
ACSM3	-1.5817851627199861	0.035183329268630784	-0.05728492355473228	0.283890047611219	0.0028371274936547443
ACSS1	-1.8030581682548494	0.16136781961393842	-0.06448537469638281	0.05527792675992349	-0.0007175283269752746
ACSS2	1.201160253042128	-0.7189965917600712	0.09265163849941749	-0.01971071246372521	-0.006048016035374047
ACSS3	2.3998642632825633	-0.36626679034430465	0.05948646662051991	0.0494682623687238	0.008105699479736462
ACTA2	0.2719838859978043	-0.07354737897657253	0.02011886601820695	0.014776485751173392	-0.00713420853542354
ACTB	0.6447510524180898	-0.5634962194913071	0.015028058198493649	0.06777477758134565	-0.00879581965671775
ACTG1	-0.9073673971579749	-0.3939402618895541	-0.07432446302744757	-0.007343702260917675	-0.007391459654198478
ACTL6A	-2.32252878604975	0.2008060500341734	-0.09314063792367648	0.02455102528594775	-0.003932386391827835
ACTN1	1.3617662316515864	-0.3762958607198061	0.001604326049517807	-0.03247431070205108	-0.0019943170504085877
ACTN4	0.4515712532716756	-0.31475377786497616	-0.00433199347606792	0.003154140448396572	-0.003279978107950804
ACTR10	-0.3816000244430985	-0.3883041494185715	-0.03863292927475497	-0.004486602029817058	-0.004422680108459779
ACTR1A	0.11608214235141806	-0.6195678137949994	-0.002193287905870903	0.018938657934945754	-0.010700541054442531
ACTR1B	-2.3346099466577463	0.05415683768962089	-0.1251913185134053	0.00405666510147525	-0.0035108577004815296
ACTR2	0.41494663971557305	-0.2594804754303161	0.01810903466541962	0.016295425793434234	-0.001232350735433201
ACTR3	0.8083137502527762	-0.45054744392635887	0.015327721568779547	0.0758549404700684	-0.009052262454468149
ACTR3B	-1.462236597465243	-0.022912721176634433	-0.07827515589730097	-0.019624128693407093	-0.0011544383378572518
ACTR5	-2.2876159239835174	0.33892334129983775	-0.09025856651751712	0.006375310364454127	-0.0031615670402326494
ACTR6	-1.637856107275324	0.11026854148570157	-0.06782110077153672	0.017250161583754253	-0.0010864417151202478
ACTR8	-2.0433069758569187	0.05837008359068504	-0.09443434848811703	0.04805108809546343	-0.006716134229535561
ACVR1	-1.175222979115765	-0.005553432179843663	-0.049573402461384836	0.0029427988444949565	-0.0028374972102124573
ACVR1B	-0.49928173205297777	-0.5108605303491016	0.039383202628428045	0.22751125311376075	-0.0035738079261268315
ACVR2A	-1.4269713440473828	-0.13040899703514996	-0.022415028217689075	-0.036162005513136385	0.0007103808345592929
ACVR2B	-1.1569280677923448	0.2987215385456943	-0.05508684358590606	-0.013493315863161388	0.002653935490799451
ACVRL1	-1.007704001482457	-0.8111944384473316	0.10123917592676382	-0.0850120243253971	-0.01193216763622195
ACY1	-1.3180954030859744	-0.08906852000002549	-0.041763675780466955	-0.03390467173428537	-0.004711093301277352
ACY3	-1.4624020044641077	-0.12014312932272732	-0.052951471869568216	0.06485397905381857	-0.008607004752448695
ACYP1	-1.4219732331289752	0.23050339416616633	-0.0800919572916719	0.04689083227006666	-0.0004530433741236742
ACYP2	-1.889130313919131	0.05060278056930616	-0.06797997745904075	0.01713131878844398	-0.002260936359490968
ADA	-1.5635274885524837	0.060094531475229515	-0.06269299090568703	-0.03122030210805454	-0.007241460643645272
ADAL	-2.020745715713014	0.09700994127386761	-0.08157068373204057	0.08628608416745849	-0.0010620193700596324
ADAM10	0.8480152368102638	-0.4673012077098948	0.021698712533847895	-0.030145982752717085	-0.005151030485531816
ADAM12	-0.15225138276435293	0.03170264408869481	-0.043162501305847374	-0.04191477085920031	0.00032080931096780817
ADAM15	-0.8065533373798042	-0.3052270792460073	0.0587463255950382	-0.006196749409728534	-0.004223280888468084
ADAM17	0.7999329980664294	-0.40409416086731453	0.04620739721678915	-0.03203222141405924	-0.004489254421220361
ADAM19	0.3000478558335322	-0.20116507761759178	-0.024858899944397782	0.13328781930673006	0.0029438752247444386
ADAM20	-0.2788620707977813	0.1736664383874994	-0.0031996525392645452	0.021906209074859406	0.002082937594922405
ADAM22	-1.0136343608879352	0.476761359265075	-0.09245778469436541	-0.03820447779309981	0.0002689696144179026
ADAM23	-1.3772787087989207	0.4388611025037723	-0.0703479372544495	0.017249495079587243	0.0034945243041115074
ADAM28	-0.7763670628121777	0.22758443422525457	-0.047687858116688346	0.06129329655997348	0.0054415037547737785
