	neutrophils	lymphocytes	monocytes	eosinophils	basophils
ACADVL	-0.4183224185625767	0.06335303169957117	0.02654451786196577	0.23421858367194848	0.0012493267242983197
ACAP1	0.1948297930233514	0.009460250982949414	-0.004213974681461341	-0.03987626360779149	-0.0001880945516262063
ACAP2	0.4088033388173234	-0.0007822859277604047	-0.017847516707272155	-0.13222354805908776	-0.0028680804511275883
ACAP3	0.2407097258450386	0.03363017739539151	0.00039573394788688064	0.0554977244349288	9.797766889246904e-06
ACAT1	-0.18518998876109372	-0.021001693326513915	-0.023757200417876247	-0.11234073590289537	0.00014540499088935415
ACAT2	-0.5308577145179523	-0.07267721875916316	-0.029595945143770543	-0.04318330158221372	-0.0019321925295094744
ACBD3	0.13456861198275472	-0.09360872442117021	0.00909448505804046	-0.007029294439521132	-0.004517885502590533
ACBD4	0.026672714702561738	0.14411432721856482	0.016821018178244784	0.14421496133612507	0.003594751679417404
ACBD5	0.32059285037208196	0.055134869826412844	0.0336116097706705	-0.07313825531958254	0.00020886411448410493
ACBD6	-0.07830379915090178	0.03538713411562962	-0.0599887689810414	-0.17603716725440471	-0.0014716242369625684
ACBD7	0.0932951811958928	0.009051116068935761	-0.016162913708679106	-0.06310343830711701	0.0009184107758670109
ACCS	0.1726108193713935	0.027398416526000127	-0.014197474185105332	-0.03261190963276752	0.0008685629299408676
ACD	-0.5474456062302462	-0.017322572785212938	0.007544356485057045	0.1317557262735367	0.0009465277445403014
ACE	0.04557902921897439	0.07546674614755217	-0.019671262052931626	-0.05015892622894463	0.0015613013855498774
ACE2	0.022644599635168763	-0.06639846341420079	0.010060795166815534	-0.1463991500814205	-0.004907869246334633
ACER2	0.23664325243622358	0.003845631330761228	0.0013918503420012741	0.0026040433936539587	0.0007515295801600626
ACER3	0.20458110549928676	-0.08033590996848151	-0.009967854737625863	-0.12168517030767977	-0.006392509926818288
ACHE	0.0015178004872245122	0.006971396062334796	0.02336465778109021	0.06892040743872167	-0.003015146396268695
ACIN1	-0.5543264673527284	0.02040855464308943	0.017366003127531095	0.10307767870625162	-0.0013375664797041372
ACKR2	0.07079723323967684	0.004200336764064749	0.015799109449834484	0.10711277928084133	0.0008604804468770581
ACKR3	-0.2837588226509386	0.016765362270394327	-0.014000435273177217	-0.011590114577900181	-0.0008381574822692924
ACKR4	0.08815148755040349	-0.013995010192141274	-0.004726533975066042	-0.1074988240291533	-0.0008337174456228034
ACLY	0.36986628887540435	0.07763062363028113	0.016498414785473994	0.11548142672688111	0.005467527924023639
ACO1	-0.01640830802298761	0.09061896021568891	-0.008985766555533691	-0.10040563950295901	0.0008848424809741503
ACO2	0.08025000045555607	-0.03894798280227509	0.00651955805800059	0.07724465461876581	0.0021438574618254246
ACOT1	-0.2162203189376408	0.04983772386057125	-0.0031032853373362587	0.01256803755173082	0.0030846984334993457
ACOT11	0.36349136349592953	0.028688001787013626	-0.007178203165962695	-0.03891658176357995	0.0007496985443501954
ACOT13	-0.5031368547770697	-0.01534179253118443	0.00684833686353691	-0.06681484977136605	-0.002246959253774821
ACOT2	-0.940198437402095	-0.03251868889643883	-0.0020291238295062214	0.07763376861835135	-0.0010182781866807083
ACOT4	-0.4843692522792196	-0.03742692952206503	0.010999876718034863	0.12988776581168626	-0.00048164983890077964
ACOT7	-0.28218964461722285	0.0053611510863342295	0.009140480603331603	0.0639605558988475	-0.0019066897692230959
ACOT8	0.164726161095803	0.1280338474386521	0.05015157711588779	0.1326152362174559	0.0025719512002799027
ACOT9	-0.24212905282626346	-0.0979348347356749	0.03725668519228718	0.03280136846174538	-0.003805490541965874
ACOX1	0.5787983335955704	0.030800764152036645	-0.008104835195908482	-0.046069950182804624	-0.0008697877113228824
ACOX2	-0.10019838170779653	-0.013050270221758128	-0.015512721716084086	-0.1096112531367256	-0.00217741408540097
ACOX3	0.39857020060300585	0.07056891577940952	0.0014407006278842026	0.0020272811717669675	0.0010321869655052153
ACOXL	0.5733467579584848	0.1220816008827891	0.01832652829645189	-0.1316603302771525	-0.006742086834678914
ACP1	-0.7928186939238505	-0.010025061360887898	-0.036898533108249504	-0.10371222301299325	-0.0009713407704694573
ACP2	-0.12543091126180236	0.08087242146013002	0.06993814638930092	0.16017029927815277	-0.0035197040728051653
ACP5	0.08276175129401092	-0.0068610198963712545	0.0011618684666654068	-0.01483791311038198	-0.0020216664995086047
ACP6	-0.22008947959493907	0.08996448990379483	0.008245941843334518	0.08028681466045741	0.0026013026265999835
ACPP	-0.0026897127187254493	0.015236576835518057	0.031797571438966325	0.11064591882893889	-0.0008768395811694215
ACR	-0.008343829251111878	-0.011363927556805369	-0.03468862652038556	-0.09440450712528624	0.0030388645255517493
ACRBP	-0.15031065466347604	0.1940884945035358	0.0059908287085195175	0.0632909699597856	-0.0007021897292647654
ACRC	0.5831843671241049	0.05928073917327172	0.01966501402494087	0.07245216208752063	-0.0018427486697211006
ACRV1	-0.1198911361667251	0.11953311516188932	-0.03320379861888488	-0.07261907850208395	0.00510684226274123
ACSBG1	0.0737325225067995	0.0006782512629126547	-0.008947764421922542	-0.0422773932050548	0.0012582273518277746
ACSF2	-0.19615443270050947	0.04432163702296704	-0.008608593123172107	-0.023160697039710645	0.0016490274640453305
ACSF3	0.47624110058279934	0.07032560872067516	0.0033201845965724315	0.06941525013187819	-0.0005448381319710963
ACSL1	0.11243279227685866	-0.06664795364131919	0.011078899118502475	-0.06688673643624299	-0.005143787983646993
ACSL3	-0.1025422772977637	-0.07979064697275445	0.006122700597375252	0.036314879832496295	-0.0021143491956771253
ACSL4	0.30413834793009487	0.013886269574060573	-0.019532437313159744	-0.08605776870580033	-0.0005586725813661148
ACSL5	0.03357558206912666	0.018670723512882344	0.016551095442723034	-0.1170809825574822	-0.002629332854180197
ACSL6	0.6443309160570132	0.008334012071110779	-0.06311773962610401	-0.29256521200032054	0.0007884493681216706
ACSM1	-0.42795306542815115	-0.031181467226806515	-0.016327758212145854	0.005746710764276814	0.00015713647902588362
ACSM3	-0.17143948303954273	0.017578777213620004	-0.005366105145613309	-0.02281417614063782	-0.0009357551242468414
ACSM5	0.6010613737141979	0.03688575049122385	0.0014633471736030532	-0.20289662156140803	-0.00040781615150975784
